 [ 8.426402    1.0357486 ]
 [ 7.9319763   1.3192062 ]
 [ 6.7616844   0.986889  ]
 [ 5.59364     0.97829187]
 [ 4.6243296   0.776474  ]
 [ 3.7301283   1.2176208 ]
 [ 2.8898566   0.93643534]
 [ 2.0712657  -0.5139619 ]
 [ 1.5707232  -0.8369532 ]
 [ 1.3922923  -0.8095841 ]
 [ 1.0722789  -1.1952257 ]
 [-0.01346954 -2.358162  ]
 [-1.6842505  -2.9250028 ]
 [-3.6780071  -2.7992184 ]
 [-5.5063367  -3.080372  ]
 [-5.9998035  -3.2657459 ]
 [-5.8983874  -3.008833  ]
 [-5.330882   -2.5748382 ]
 [-5.128505   -2.6405892 ]
 [-5.223767   -2.8422458 ]
 [-5.5270185  -2.6634028 ]
 [-5.7624087  -2.4060822 ]
 [-6.147364   -2.0769176 ]
 [-6.472257   -1.8764598 ]
 [-6.3931923  -1.780642  ]
 [-6.381407   -1.415298  ]
 [-6.474456   -0.8818592 ]
 [-6.6678195  -0.4217726 ]
 [-6.4932957   0.06282667]
 [-6.2988167   0.6804366 ]
 [-6.2718287   1.2635334 ]
 [-5.985358    1.2090955 ]
 [-5.5540366   1.3777193 ]
 [-5.343626    1.8475963 ]
 [-5.1324964   2.5729105 ]
 [-5.0556846   3.0681632 ]
 [-4.8085036   3.4154634 ]
 [-4.636591    3.617929  ]
 [-4.7979474   3.7221615 ]
 [-4.977243    3.9009717 ]][[ 2.4067159   0.24106927  0.05992076]
 [ 1.8833632   0.34799224  0.13329892]
 [ 1.1243534   0.77690876  0.29217276]
 [ 0.5200901   0.992139    0.3065084 ]
 [ 0.04991669  0.9301885   0.22810383]
 [-0.31869447  1.2168365   0.13408504]
 [-0.6232778   1.5465833  -0.15835139]
 [-1.0108249   1.3764701  -0.6240356 ]
 [-1.0753993   1.5838267  -0.82473433]
 [-1.1998136   1.4660053  -0.7651171 ]
 [-1.2651265   1.6111255  -0.5266534 ]
 [-1.3840941   1.7556096  -0.39850312]
 [-1.5386554   1.5771161  -0.41596437]
 [-1.6944827   1.6849968  -0.45144895]
 [-1.9234251   1.9418898  -0.45084444]
 [-2.3285642   1.9183933  -0.4539438 ]
 [-2.6876895   1.6500797  -0.47948498]
 [-2.9354868   1.2117385  -0.46701372]
 [-3.0708823   0.6473085  -0.34537184]
 [-3.1451669   0.3297708  -0.22475958]
 [-3.3988192   0.22786435 -0.3175807 ]
 [-3.6060486   0.10855142 -0.393099  ]
